,플레이스 이름
1,미미원
2,황톳길
3,RONNIQUE
4,달곰식당
5,알랭
6,동명사랑채
7,가원
8,시스살롱
9,동명로15
10,칠복계
11,엄마네돼지찌개
12,나주식당
13,소뇨
14,바른초밥 두암점
15,열도지
16,민속촌
17,맛삼
18,청춘덮밥
19,밤실마을
20,바리에
21,광주보쌈
22,장독대
23,소맥베이커리
24,동명동 나른한 오후
25,아카이타코
26,황솔촌 충장점
27,유명회관
28,평화식당
29,해남식당
30,테스타
31,박순자 녹두집
32,사이공장
33,어니스트식스티
34,퍼스트네팔 광주본점
35,1960청원모밀
36,애슐리퀸즈 NC 충장점
37,한옥식당
38,에머이 광주충장로점
39,말리화반점
40,양인제과
41,등촌칼국수
42,칠우불고기 본점
43,샤브향 광주문화전당점
44,장모사랑
45,인촌
46,그라제1985
47,보광옥
48,토라네코
49,다정푸드 뒤집고
50,돈일촌
51,마한지
52,거목한정식
53,무진장 떡볶이
54,영암빈대떡
55,동진식육식당
56,제주덕구 광주 동명동점
57,고려조삼계탕 금남점
58,남동숯불생갈비
59,대인시장독도횟집
60,료코
61,관지리
62,수정식당
63,올능이능이버섯백숙계림점
64,구수숯불갈비
65,직화부심
66,광양 숯불구이 지산동점
67,빨봉분식 충장로점
68,송가네
69,나산식당
70,두암골풍천장어
71,만계치킨 조대본점
72,BHC치킨 광주금남로27번가점
73,아리랑하우스
74,삼정골
75,쌍학
76,이비가짬뽕 광주두암점
77,이씨네오이시카레
78,충장로 어나더키친 피터테이블
79,동명이네
80,이조감자탕
81,김가원
82,득량만횟집
83,남원추어탕
84,복록수
85,완도바다
86,파인트리
87,새마을식당 광주충장로점 직화
88,계절따라
89,해남식당
90,계림동나주곰탕
91,A.C.C 회참치
92,청진동해장국
93,굴마을
94,더빌리진
95,한성일식
96,OMG ghost PUB
97,진도섬마을
98,한국별관 본점
99,정원
100,담양참숯돼지갈비떡갈비
101,부부식당 국밥 순대
102,춘부집 광주산수점
103,최씨부엌족발 두암점
104,하동정
105,양림148
106,춘자생태탕
107,동방삼겹
108,파스쿠찌 광주충장점
109,동보성
110,지란지교
111,돈구이불났네
112,만년식당
113,달빛
114,네고치킨
115,맷돌영양두유
116,비아돼지찌개 산수본점
117,북동가든
118,일등회관
119,오매치킨
120,더33갈비
121,동해바다
122,켈리오켈리
123,장원흑돼지숯불갈비
124,양가네
125,소반
126,섬마을
127,고사바베큐광주점
