,플레이스 이름
1,소쿱 수완점
2,티피티로스터스
3,키리키리베이커리 하우스
4,아늑
5,부디커피
6,궁전제과 수완점
7,그런느낌
8,cafe 마카리조
9,슈퍼베이글마켓 수완점
10,GT커피 수완점
11,스왈로
12,프랭크커핀바 수완점
13,소쿱 수완점
14,머든 수완점
15,파티세리 시즈널
16,커프커프하우스 수완점
17,리프티드
18,런오브더밀
19,구르르 수완점
20,카페304 광주신창점
21,꾸르베이크샵
22,claro 수완점
23,동명제과 롯데아울렛 광주수완점
24,꾸르베이크샵
25,두잇랩
26,꽈르르
27,퀸즈퀸즈
28,"크레페, 타임"
29,레파스 수완점
30,카페업데이트
31,필리아커피
32,디오프
33,어트
34,오르브와
35,나리꼬모 광주수완점
36,카페비노
37,슬로우무드
38,왕가탕후루광주수완점
39,꾸이
40,카페스무크
41,케익만들기
42,르부케
43,브레이브퀸
44,모네제과점
45,샌듀
46,설빙 광주수완점
47,스타벅스 광주장덕점
48,로하다
49,어스웨이
50,폴바셋 롯데아울렛 광주수완점
51,브론즈힐507
52,대단한탕후루 광주수완점
53,와플대학 광주수완 캠퍼스
54,던킨 광주수완점
55,모닝콜러
56,투썸플레이스 광주장덕점
57,복호두 수완점
58,스타롱
59,할로아
60,꽈페 광주수완점
61,brown hill
62,고망고 광주수완점
63,팜스아일랜드
64,어랏커피 수완점
65,배리스키친
66,스타벅스 광주흑석DT점
67,이디야커피 광주수완장덕점
68,해이커피 광주수완점
69,이디야커피 수완중앙점
70,엔제리너스 광주수완점
71,메가MGC커피 수완점
72,해오름달
73,클래시비건
74,굽는당
75,요거트월드 광주수완점
76,30 Days Black
77,수완지구 바틀샵&카페 포도당
78,오소유
79,이디야 수완신가점
80,매머드익스프레스 광주수완점
81,에그존 수완점
82,마카리오스
83,뚜레쥬르 광주수완점
84,컴포즈커피 광주수완지구점
85,텐퍼센트커피 광주수완점
86,st1260카페
87,케이꾸당
88,파리바게뜨 수완노블점
89,투썸플레이스 수완우미점
90,꼬모과자점
91,경성찹쌀꽈배기 수완점
92,디저트39 광주수완점
93,설렘
94,하삼동커피 수완점
95,투썸플레이스 광주수완점
96,커피마들렌
97,우지커피 광주수완아울렛점
98,요거트아이스크림의정석 수완점
99,공차 수완장신로점
100,헬로까눌레 수완점
101,달향
102,공차 광주수완점
103,메가MGC커피 광주수완성덕점
104,하비비
105,엔제리너스 롯데아울렛 광주수완점
106,이디야커피 광주수완점
107,담은플라워케이크
108,카페 위
109,아이잇케이크
110,앤티앤스 롯데아울렛 광주 수완점
111,카페리아
112,빅브로
113,감성커피 광주수완점
114,메가MGC커피 광주흑석점
115,벌크커피 수완장덕점
116,할리스 광주수완2호점
117,빈러브
118,감동식혜 광주수완점
119,벌크커피 수완점
120,스타벅스 광주신가DT점
121,모지
122,크리스피크림도넛 롯데아울렛 광주수완점
123,컴포즈커피 광주수완초등학교점
124,마티스커피
125,파스쿠찌 수완로점
126,콜무어
127,읍천리382 첨단점
128,그린게이블즈앤
129,뚜레쥬르 광주수완장덕점
130,배스킨라빈스 광주수완롯데마트
131,T&T
132,디잇
133,이디야커피 광주수완은빛점
134,이디야커피 광주신가사거리점
135,배스킨라빈스 광주장덕
136,도심 속 민들레 이야기
137,메가MGC커피 광주수완아울렛점
138,메가MGC커피 광주수완임방울점
139,빙수바보 빙식이
140,빽다방 광주수완대로점
141,정항우케익장덕점
142,뚜레쥬르 광주수완대방점
143,뿌흐프흐
144,이디야커피 광주수완솔빛점
145,몰레디저트카페
146,11vibe
147,파리바게뜨 광주수완리채점
148,만랩커피 광주수완점
149,여리307
150,아마스빈 광주수완점
151,설고
152,공부의신 스터디카페 24시
153,투썸플레이스 광주신가점
154,카페샤인
155,더벤티 광주수완점
156,벌크커피 수완성덕점
157,타코in카페
158,뚜레쥬르 광주흑석점
159,와와커피
160,벌크커피 수완임방울점
161,유달리 수완직영점
162,베이커리팩토리
163,워킹시애틀흑석점
164,배스킨라빈스 광주수완점
165,파리바게뜨 광주수완1호점
166,매머드익스프레스 광주장덕점
167,드롭탑 광주수완아동병원점
168,셀독24스터디카페 광주흑석점
169,Nidus
170,마시그래이 광주수완점
171,이디야커피 광주수완롯데마트점
172,더벤티 광주수완장덕점
173,플랜티 수완점
174,플라워카페 홀릭스
175,딜리커피 수완장덕점
176,컴포즈커피 광주수완장덕점
177,카페051 수완점
178,"도도롱,베이킹클래스"
179,보드라운커피
180,투썸플레이스 광주 수완롯데마트점
181,메가엠지씨커피 수완스타점
182,파리바게뜨 수완임방울점
183,파리바게뜨 수완롯데점
184,심봉사도로케 광주신가점
