,상품명,가격정보
0,오리 영양도시락,"6,900원"
1,통살 오징어튀김,"2,900원"
2,열무 감초고추장 비빔밥,"4,500원"
3,열무 두부강된장 비빔밥,"4,900원"
4,[8월할인메뉴] 토네이도 소세지,"1,000원"
5,[8월할인메뉴] 토핑-계란후라이,800원
6,[8월할인메뉴] 치킨2조각,"1,300원"
7,[8월할인메뉴] 토핑-스팸,800원
8,[8월할인메뉴] 빅치킨마요,"3,600원"
9,[8월할인메뉴] 치킨마요,"3,000원"
10,[8월할인메뉴] 카츠카츠 도시락,"3,900원"
11,[8월할인메뉴] 핫 치즈 닭갈비 덮밥,"4,900원"
12,[8월할인메뉴] 오리지널 치즈 닭갈비 덮밥,"4,900원"
13,[8월할인메뉴] 돈까스도련님 고기고기,"5,500원"
14,[8월행사메뉴] 숯불직화구이 덮밥,"4,900원"
15,[8월할인메뉴] 진달래,"6,700원"
16,[8월할인메뉴] 통현미 닭강정(소),"2,900원"
17,[8월할인메뉴] 스팸 김치볶음밥,"3,900원"
